text,label
parcel not deliver tomethere nosanjay here,0
guy not his sens,1
good,1
good,1
delay service,1
very late delivery receive,0
how return my order,1
wait for address for minimum two attempt,1
lovely,2
yes,1
late delivery service,0
parcel open,1
self,1
excellent,2
bad way of navigating even talk customer wouldnt recommend it anyone,0
do,1
hv not receive package,1
nice,1
do not receive my order,0
outstanding,1
nice,1
awesome delivery by bluedart thank you,2
good service,2
it ok,1
good,1
The delivery person is very rude and doesn't know how to talk respectfully. He thinks just calling someone sir or madam is being respectful.,0
nic,1
good delivery,2
very bad service delivery agent attitude very arrogant rude reason for non delivery on incorrect overall this isnt expect from repute company such a blue dart,0
straight home,1
a at work my sister pick up my parcel she couldnt reach me on call so he have wait for just mins delivery partner rude my sister a say cancel order dont expect this from bluedart delivery atleast,0
good,1
good timely service,2
delivery person very kind friendly he bring order on time at my desk,2
all good,1
aapka service mujhe accha laga,1
stupid very bad product earing missingcheating return my product,0
not deliver,1
your delivery boy fraud,0
definitely,1
best service very good hospitality,2
very bed behaviour,1
good service,2
get msg that it deliver today morning but get product by pm,1
office jake lena pada service ekdam galat hai,1
fast delivery,1
bluedart delivery staff not deliver at my addresshe call me at other location which from my current addressi tell him that deliver at my current address then he say that your current address bluedart dont deliver at that location as well a say that if you dont come then submit this item in hdfc bank,1
delivery man polite humble,1
what we order it not come totally different it come plss take this order we want other item,1
bad service ever,0
koi nhi aaya dene address par blue dart office ja ke lana pada bahut bekar sarvice he,1
very delayed,1
delivery speedy smooth,1
get message delivery out but not receive any article please check out with delivery person contact me below number mobi,1
good,1
they didnt deliver my package me go their office collect it because get message that they deliver my package everyday for last week they didnt deliver it,0
we havent receive parcel,0
bad experience,0
delevery boy very good person deliver on time,2
good service,2
Thankyou ,2
excellent work,2
delivery agent extremely polite he deserve appraisal,2
okay,1
paracel not receive,1
apt on time,1
good processional courier service,2
do,1
inform u if u dont find right address contact u on our contact number which give on our order,1
tamara sarvesh thik nathiii ohk,1
delayed,1
great service a always,2
nice,1
on time,1
good service,2
very good,2
recieved only one piece instead of two piecesvery disappoint,0
It was a pleasant experience ,2
very fast service thank you,2
service very good,2
medicine order delay by day no communication that order delay,1
parcel leave with gate man in different block of this complex it should deliver my flat,1
box damage,1
delivery slat for sat st nov why delayed please find out,1
No,1
good,1
courier not receive,1
very poor,0
there nothing improve,1
it good,2
very long time delivery bad,0
excellent,2
H,1
good,1
very good,2
"No Thanks
",1
good,1
allocate time slot for delivery morning,1
want return my order,1
pleased ndc,2
havent receive any thing till now,1
please advise delivery executive wear helmet,1
item not receive,1
people not reach at mentioned address atleast didnt get call from delivery agent when check status it mention a address invalid which deliver other shipment same address in past which clearly say that negligence of service finally step in office location get card,0
in previous delivery no otp be generate,1
yes,1
parcel deliver but not receive at give address nice communication good,1
food,1
point of contact detail on fitting,1
parcel not deliver but msg receive with deliver,1
it take more than minute after approval of entry campus deliver package package deliver with out collect otp otp send me after delivery of package,1
not receive my order,0
maybe them carry change,1
goo,1
delivery person very cooperative,1
good,1
good service,2
improve delivery timing,1
delivery time very late,0
replace,1
Excellent IDFC first bank,1
very nice,2
poor communication high price very late delivery,0
good service,2
low quality,1
fast service,1
kindly,1
next time inform properly about delivery,1
no thought,1
good service very thank you,2
it quick,1
he do not deliver parcel no phone call he do go office collect parcel,1
nothing,1
not deliver but sms recieved delivered dont know why,1
nothing much requiredall good,2
good service,2
karansinh not jaransinh,1
receive on time but minor request if possible then please share number of delivery person when package out for delivery,1
Communication with customer is not good in kothapet branch ,0
this very poor irresponsible service receive my courier after fifteen day,0
contact you but you dont updated address of your delivery hub in my hometown upon ask for number of any executive present here tell thats it personal can not share provide my number yet delivery executive dial just one number which didnt even connect he straight away reschedule delivery attempt next which holiday get know after reach hubthese many flaw do frustrate me quite well,0
do not receive,0
nice,1
delay sevice,1
self callect,1
item not deliver properly,0
myself go there collect my order my order go cancel next day it important order,1
im very happy,2
good night,1
nice delivery,2
very good,2
good,1
have reject this delivery first time delivery boy again come delivery without my consent because have some other shipment also come from bluedart he ask me otp an give it now suffer loss because accord shipper policy on accepted this can not refund,0
thank you bhaiya,2
didnt receive package my address change,0
very good,2
very nice delivery,2
fast delivery good service,2
last day delivery of product delivery boy didnt call before arrive cancel order without reach destination,0
pathetic service,1
good,1
amaze,1
delivery delay wrong comment add,0
no word,1
not deliver anything,0
improve your customer service,1
good service,2
good service,2
"After the cutting is cut, the message should come that the level has been cut in both Hindi and English or by calling that you too have been cut.",1
good,1
didnt receive any material,0
nothing deliver,1
best,1
excellent service,2
item not deliver at all,0
please deliver when address already in use,1
shipment prompt but one item miss in parcel,1
professional,1
no a such,1
deliver on time iam happy,2
mera order mujhe nhi mila,1
additionally charge extra,1
need return this item that send me,1
please try deliver on time,1
very good service,2
thank you,2
great service,2
very good service,2
good good,2
not receive yet,1
shipment hasnt yet deliver me status show a deliver,1
good service,2
your executive ask for aadhar card of receive person,1
take too much time deliver orderdelayed delivery,0
not like that,0
parcel not deliver,0
perfect,1
service smooth person who deliver shipment very humble polite,2
your service good,2
Good,1
blue dart best service provider,2
product bilkul bekar aya h mne kya suit mangaya tha or kya aya h bilkul suit alg or salwar plz return kariye,1
service not well,0
good,1
late delivery very rd class service delivery not door door service delivery boy say take your parcel near by location not deliver at adress,1
gooooood,1
Better in branch experience and better Privileges. I bank with HDFC for Salary and I am a preferred banking client but IDFC gave me a standard salary account. ,1
delivery guy really rude have so many experience from this same delivery guy before also all time he really rude or threaten not deliver parcel,0
best,1
o do not recived my credit card till nowand status show deliver,1
nothing special,1
order pack of get only one piece,1
good,1
not receive,1
same day attempt delivery,1
very good,2
yes sarvice,1
good,1
not good service,0
extremely polite staff,1
nothing,1
excellent service,2
package late,1
very good,2
receive fake or different which not rayban,1
polite behaviour timely delivery item with not any disturbance,1
fast service,1
very good,2
very slow service,0
very good service,2
nice service,2
take time reach me but packaging really worth it love your effort for me,2
didnt receive my order,0
good support,2
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bank’s commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",2
nice,1
bahut acha sarvic,1
all good,1
More transparency about the offer and reflecting same on the screen. No where it is mentioned about non compliance of offer. Not sure whether offer is valid and applied ,1
When will the hugs have to be filled,1
hygjh hhj,1
fantastic service get my parcel day before delivery date,1
good service,2
delivery staff good but issue out of delivery msg come at pm order deliver at pm,1
good,1
delivery boy friendly,1
very good,2
very bad product,0
hii,1
very good experience,2
please delete my mobile number a not at khandwa,0
no manner talk eldersneed improve interaction behaviour which cant insult client especially senior,1
very very warst quality damage,1
product original address per deliver nahi huva,1
good service,2
worst delivery agent,0
no call receive from delivery boy,1
ok h,1
vcdd,1
very nice,2
good,1
delivery time very late day,1
yes,1
every delivery person should speak politely,1
location map,1
খুব ভালো ব্যাংক,1
very good service,2
good,1
wrong order deliver,0
return damgae,1
not receive these parcel who send them what address you deliver them some fraud go on,0
poor customer relation,0
good,1
excellent good job,2
good,1
this my first time order from arata,1
not deliver sign stamp,1
